Iteration,MeanKLBefore,LossAfter,Perplexity,AverageReturn,AverageDiscountedReturn,dLoss,MinReturn,MaxReturn,NumTrajs,MeanKL,LossBefore,ExplainedVariance,StdReturn,Entropy
93,0.0,-0.0648640750713,4.65216483372,7.2315270936,7.2315270936,0.0648640750713,0,12,203,0.0098342565173,3.34367841872e-17,0.554474841576,1.9803445819,1.5373326669
94,0.0,-0.0663972725983,4.66812804047,6.97044334975,6.97044334975,0.0663972725983,1,12,203,0.00983168141174,-3.56887042553e-18,0.527155100689,2.11471813922,1.54075814346
95,0.0,-0.0506242081695,4.48829372278,7.11764705882,7.11764705882,0.0506242081695,2,12,204,0.00644306305482,-1.66284027652e-18,0.5065053433,2.14107411951,1.50147261233
96,0.0,-0.0596514511332,4.46366797178,7.385,7.385,0.0596514511332,0,13,200,0.00993841290824,-4.00399237773e-17,0.565354676891,2.08009014228,1.49597084323
97,0.0,-0.0531331674556,4.50949015651,7.35025380711,7.35025380711,0.0531331674556,0,12,197,0.00642739438329,-6.38052843287e-17,0.568663014937,2.1383998089,1.50618409979
98,0.0,-0.0561603496506,4.3986243253,7.14427860697,7.14427860697,0.0561603496506,0,12,201,0.00998146538241,1.65978342181e-17,0.469880172167,2.29515596366,1.4812918387
99,0.0,-0.0494240270855,4.41207667962,7.00985221675,7.00985221675,0.0494240270855,0,12,203,0.0064488458803,-5.36160533696e-17,0.447217737293,2.35305094433,1.48434548103
100,0.0,-0.0605837719811,4.38739168859,7.22772277228,7.22772277228,0.0605837719811,0,12,202,0.00994194126284,6.90983771807e-17,0.490507747679,2.16580622319,1.47873490213
101,0.0,-0.0609899323312,4.44137229573,7.33333333333,7.33333333333,0.0609899323312,0,13,198,0.00996354477599,-1.65495991361e-16,0.536756865706,2.12251042519,1.4909634043
102,0.0,-0.0629810913634,4.44915862683,7.42574257426,7.42574257426,0.0629810913634,2,12,202,0.00988150920844,1.99590656112e-18,0.588985194858,1.9209451812,1.49271500568
103,0.0,-0.0488257354724,4.35199333943,7.37373737374,7.37373737374,0.0488257354724,0,12,198,0.00642762657184,2.69268448184e-17,0.555359722258,2.12053861362,1.47063397909
104,0.0,-0.0504081285244,4.39156749549,7.20895522388,7.20895522388,0.0504081285244,0,13,201,0.00643395774721,-8.07573566239e-17,0.541947432006,2.091470335,1.47968622383
105,0.0,-0.0509622872645,4.33607652909,6.960591133,6.960591133,0.0509622872645,0,12,203,0.00641195645055,7.50307948761e-17,0.548427059721,2.28260149858,1.46696991368
106,0.0,-0.0625712067174,4.28575764759,7.33663366337,7.33663366337,0.0625712067174,2,12,202,0.00990472762588,2.44808469386e-17,0.558621573417,2.08852227698,1.45529735033
107,0.0,-0.0604371884535,4.34393716476,7.10447761194,7.10447761194,0.0604371884535,0,12,201,0.00982366340674,-1.00482778538e-16,0.505925996496,2.03795572402,1.46878111769
108,0.0,-0.0505801649394,4.23956794458,7.46428571429,7.46428571429,0.0505801649394,2,13,196,0.00641537392604,-3.81639164715e-18,0.585517587192,1.96752978869,1.44446136419
109,0.0,-0.0626038783654,4.29757754323,7.29648241206,7.29648241206,0.0626038783654,0,13,199,0.00997557782706,3.14673991012e-17,0.536807944751,2.37184865001,1.45805150191
110,0.0,-0.063475800424,4.22365403961,7.46268656716,7.46268656716,0.063475800424,2,13,201,0.00995582164063,-6.02201810263e-17,0.530611187613,2.16481376867,1.44070063955
111,0.0,-0.0507214269062,4.25057461887,7.23115577889,7.23115577889,0.0507214269062,0,12,199,0.00640744503948,2.09361089203e-17,0.546550915713,2.11404353579,1.44705417824
112,0.0,-0.0627728795904,4.14825308176,7.34328358209,7.34328358209,0.0627728795904,0,13,201,0.00991174061395,1.38535441056e-18,0.479493029862,2.39330890746,1.42268730147
113,0.0,-0.0564798447542,4.15843866523,7.44387755102,7.44387755102,0.0564798447542,0,12,196,0.00988153084901,-7.07968305558e-17,0.501468610707,2.25468067908,1.42513968296
114,0.0,-0.0564944461088,4.12127553499,7.36180904523,7.36180904523,0.0564944461088,3,12,199,0.00989753486267,3.72755369747e-17,0.557065518541,1.9644449505,1.41616271132
115,0.0,-0.0628516786884,4.0658397757,7.38578680203,7.38578680203,0.0628516786884,2,13,197,0.00987284902124,5.46260705938e-19,0.613452427388,2.05097501024,1.40262030855
116,0.0,-0.0597485737019,4.0675647491,7.56565656566,7.56565656566,0.0597485737019,0,12,198,0.00983590181927,2.14345877042e-17,0.553517589025,2.0408040412,1.40304447863
117,0.0,-0.0620124659039,4.08185297763,7.42131979695,7.42131979695,0.0620124659039,0,12,197,0.00993123333358,1.00929365875e-16,0.55019107246,2.09426392925,1.4065510465
118,0.0,-0.0610077254222,3.95214564978,7.41919191919,7.41919191919,0.0610077254222,0,13,198,0.00996702272075,-8.13408861116e-17,0.603453781805,1.93349930153,1.37425863391
119,0.0,-0.0635180622445,3.98102318022,7.41414141414,7.41414141414,0.0635180622445,1,11,198,0.00990280223477,-1.09138690544e-17,0.54884054081,2.02514546683,1.38153886671
120,0.0,-0.0649190415438,3.99827083661,7.3184079602,7.3184079602,0.0649190415438,3,11,201,0.00992390106749,8.91945643536e-18,0.518239067007,2.2367597061,1.38586197681
121,0.0,-0.05794231949,4.0063503295,7.53,7.53,0.05794231949,0,13,200,0.00992401713267,-5.13817645446e-17,0.478339347999,2.4777207268,1.38788068462
122,0.0,-0.0578970985243,4.05097365779,7.43718592965,7.43718592965,0.0578970985243,0,13,199,0.00992034930011,-4.53160747308e-17,0.531985913202,2.15127030852,1.39895726155
123,0.0,-0.0585488684898,4.01731619074,7.43781094527,7.43781094527,0.0585488684898,0,12,201,0.0099601981729,4.07824322667e-17,0.545882701637,2.20973945113,1.39061406543
124,0.0,-0.0572512737003,4.00104862514,7.33165829146,7.33165829146,0.0572512737003,0,11,199,0.0099788709055,4.04220851859e-18,0.524798553681,2.25298300614,1.38655648305
125,0.0,-0.0586434968277,3.92440157495,7.53768844221,7.53768844221,0.0586434968277,0,13,199,0.00985516626644,-2.46289183326e-17,0.567580771514,2.22080991234,1.36721387463
126,0.0,-0.051870768934,3.98305703258,7.37810945274,7.37810945274,0.051870768934,0,12,201,0.00641870482786,-7.29464605528e-18,0.563685535641,2.13623521726,1.3820496231
127,0.0,-0.057720078686,3.8416407831,7.595,7.595,0.057720078686,0,12,200,0.00992441663456,-4.4259475878e-17,0.501835786057,2.3454157414,1.3458995626
128,0.0,-0.0599670480259,3.9523691947,7.4824120603,7.4824120603,0.0599670480259,2,12,199,0.00984281599338,-6.4002393597e-17,0.537300557115,2.15211528783,1.37431519523
129,0.0,-0.0500578519209,3.78365690372,7.76767676768,7.76767676768,0.0500578519209,0,12,198,0.00644543713548,-5.55666485082e-18,0.585594234496,2.157103758,1.33069097681
130,0.0,-0.0586522650343,3.86786321353,7.30541871921,7.30541871921,0.0586522650343,0,13,203,0.0098405828772,-5.11728265533e-17,0.488829969521,2.28408936636,1.35270221335
131,0.0,-0.0480657777174,3.8515693097,7.70769230769,7.70769230769,0.0480657777174,2,12,195,0.00641877670574,-1.45029632825e-16,0.56967696438,2.07096962493,1.34848067816
132,0.0,-0.0599134173239,3.84026118761,7.43434343434,7.43434343434,0.0599134173239,2,12,198,0.00996495839453,-7.84200749969e-18,0.579914802442,2.12327941591,1.34554038189
133,0.0,-0.0581846586934,3.74954248582,7.30198019802,7.30198019802,0.0581846586934,0,12,202,0.00995308015768,-5.38019447548e-17,0.481343995595,2.25873355377,1.32163382876
134,0.0,-0.0516111822987,3.75643893395,7.72820512821,7.72820512821,0.0516111822987,2,12,195,0.00642686024478,-4.88010120714e-18,0.586676437052,2.10322691241,1.32347141659
135,0.0,-0.0578255041176,3.83503775674,7.445,7.445,0.0578255041176,1,11,200,0.00992312115579,1.59277184738e-17,0.57894703284,2.15336364788,1.34417928007
136,0.0,-0.0603467321303,3.77396595278,7.77272727273,7.77272727273,0.0603467321303,2,13,198,0.00983525178994,-4.1795980234e-18,0.544571504616,2.10911050148,1.32812642538
137,0.0,-0.0610894452957,3.72678484457,7.64646464646,7.64646464646,0.0610894452957,0,13,198,0.00993011431761,4.17989859532e-17,0.516900040142,2.24199195032,1.31554588998
138,0.0,-0.0655894784966,3.72863550268,7.535,7.535,0.0655894784966,2,12,200,0.0099563389076,1.06209676496e-17,0.550016583786,2.22008445785,1.31604234975
139,0.0,-0.0579535962518,3.69728750973,7.73979591837,7.73979591837,0.0579535962518,0,13,196,0.00988690820225,1.22287841506e-16,0.596292989266,2.03004171043,1.30759944532
140,0.0,-0.0485313962602,3.72750838886,7.74489795918,7.74489795918,0.0485313962602,0,13,196,0.00644089985247,-1.29641638867e-16,0.554179944974,2.18907875736,1.31574001819
141,0.0,-0.0588612093598,3.61917570793,7.59693877551,7.59693877551,0.0588612093597,1,13,196,0.00997891097302,-1.02144956938e-16,0.540803421289,2.21677068312,1.28624629492
142,0.0,-0.0488395428319,3.72580907456,7.59090909091,7.59090909091,0.0488395428319,0,14,198,0.00640496694419,4.64118720689e-17,0.537230543733,2.1902719221,1.31528402947
143,0.0,-0.0609599324141,3.68657621792,7.74,7.74,0.0609599324141,0,13,200,0.00998001873516,-3.35758525318e-17,0.542661394175,2.26106169752,1.30469817311
144,0.0,-0.0611303642073,3.5992378765,7.65671641791,7.65671641791,0.0611303642073,0,12,201,0.00989420139669,-1.24082118761e-17,0.521090219642,2.2118107132,1.28072212208
145,0.0,-0.0637597631821,3.6515472247,7.72727272727,7.72727272727,0.0637597631821,0,13,198,0.0099992005886,1.91458736589e-16,0.538007897998,2.29103735411,1.29515097495
146,0.0,-0.0585804227172,3.63316793215,7.48514851485,7.48514851485,0.0585804227172,3,12,202,0.00997232947503,-4.49809085513e-17,0.546389534409,1.9756631241,1.29010497627
147,0.0,-0.0631982761488,3.62818641612,7.805,7.805,0.0631982761488,0,12,200,0.00996547083376,-2.66813897928e-17,0.519303748841,2.3742314546,1.28873291354
148,0.0,-0.0604583744686,3.56193157678,7.90816326531,7.90816326531,0.0604583744686,3,14,196,0.00991505645648,1.86979090104e-17,0.586800438563,2.12893925247,1.27030297547
149,0.0,-0.0595881538175,3.61177559328,7.62121212121,7.62121212121,0.0595881538175,2,13,198,0.00983952613018,-4.25303804043e-17,0.559258274604,2.17259202487,1.28419950552
150,0.0,-0.0558769061189,3.55377850461,7.91370558376,7.91370558376,0.0558769061189,0,13,197,0.00979621101293,2.83008853579e-17,0.552586190623,2.31693499941,1.26801140495
151,0.0,-0.0599503326526,3.48158739336,8.10880829016,8.10880829016,0.0599503326526,0,13,193,0.00982493432914,1.56662339888e-17,0.615376512439,2.07216317839,1.2474883373
