Iteration,dLoss,LossBefore,MinReturn,StdReturn,MeanKL,MeanKLBefore,MaxReturn,AverageDiscountedReturn,Entropy,AverageReturn,ExplainedVariance,NumTrajs,LossAfter,Perplexity
81,0.0462144269709,-8.47100167789e-17,0,1.595826975,0.00655155070176,0.0,9,4.01618122977,2.02591120866,4.01618122977,0.427127018058,309,-0.0462144269709,7.58301750873
82,0.0469232271917,1.20087324666e-16,1,1.64013946164,0.00644440249889,0.0,10,4.07284768212,2.03209505478,4.07284768212,0.441105550779,302,-0.0469232271917,7.63005500857
83,0.0461253024039,-3.75255382323e-17,-1,1.6954151841,0.00644094681232,0.0,10,4.01286173633,2.01486194704,4.01286173633,0.430520152583,311,-0.0461253024039,7.49969195504
84,0.0608403820413,-1.81198609118e-17,0,1.48534092806,0.00999318221802,0.0,9,3.86538461538,2.00041292806,3.86538461538,0.404290227027,312,-0.0608403820413,7.39210787761
85,0.0593852163522,4.0079051189e-17,0,1.48931550354,0.009770332271,0.0,9,4.05863192182,2.00740095928,4.05863192182,0.435877196566,307,-0.0593852163522,7.4439450672
86,0.0644940614939,1.20405638422e-18,0,1.65224200122,0.0099617097436,0.0,9,3.95327102804,1.97799859431,3.95327102804,0.368526395029,321,-0.0644940614939,7.22826181433
87,0.0511792382829,-8.42367170082e-17,0,1.56667114574,0.00645833703558,0.0,10,3.91147540984,1.97388741996,3.91147540984,0.375967126062,305,-0.0511792382829,7.19860617129
88,0.0464193703701,-5.73891404271e-17,-1,1.71492977819,0.0064225055807,0.0,11,4.00310559006,1.97533072035,4.00310559006,0.368200791157,322,-0.0464193703701,7.20900342377
89,0.0606012272251,5.12923037377e-17,0,1.61744034212,0.00993499196431,0.0,10,4.02236421725,1.97016920789,4.02236421725,0.369758582875,313,-0.0606012272251,7.17188992607
90,0.0556879077406,-2.89879259423e-17,0,1.66447620995,0.0098071999461,0.0,10,3.99672131148,1.98197129484,3.99672131148,0.403534502469,305,-0.0556879077406,7.25703464891
91,0.0570130592031,1.54966324474e-17,0,1.53693344426,0.00984135309375,0.0,9,4.10967741935,1.94957018596,4.10967741935,0.447623858177,310,-0.0570130592031,7.02566720116
92,0.0641333162641,-9.31136937133e-17,1,1.57242945886,0.00988205286401,0.0,9,4.0578778135,1.95304618957,4.0578778135,0.44390966127,311,-0.0641333162641,7.05013093909
93,0.0477673845879,1.10773063071e-17,0,1.58043197316,0.00641355418767,0.0,11,4.12337662338,1.92488738602,4.12337662338,0.419772955381,308,-0.0477673845879,6.85437672376
94,0.0496073595205,-7.92541230313e-17,-1,1.59632943912,0.00643447632374,0.0,10,4.12420382166,1.92590896453,4.12420382166,0.420748985788,314,-0.0496073595205,6.86138258564
95,0.0573198408589,-3.14937703325e-17,1,1.54975465644,0.00984020132987,0.0,10,4.08305647841,1.93995386774,4.08305647841,0.36193674138,301,-0.0573198408589,6.9584299551
96,0.0491370958556,1.86745774544e-17,1,1.50456813942,0.00641702743458,0.0,10,4.14193548387,1.92355508499,4.14193548387,0.439565517999,310,-0.0491370958556,6.84525071129
97,0.0564019769708,-5.64957357272e-17,0,1.62748910237,0.00996714474639,0.0,9,4.19798657718,1.92383475138,4.19798657718,0.414889952985,298,-0.0564019769708,6.84716536555
98,0.0511580309609,-4.34567476605e-17,0,1.68097961625,0.00642001068005,0.0,10,4.11221122112,1.92088981299,4.11221122112,0.375202023502,303,-0.0511580309609,6.82703054782
99,0.0606685644713,3.20704888955e-17,0,1.55232800085,0.00981734035228,0.0,10,4.28333333333,1.89141802752,4.28333333333,0.474247460832,300,-0.0606685644713,6.62876178628
100,0.0592176162398,9.84830519095e-18,1,1.55197522119,0.00988016434671,0.0,10,4.21428571429,1.89517911607,4.21428571429,0.424264528394,308,-0.0592176162398,6.65374008971
101,0.0640337053644,-3.89381764752e-17,0,1.55154285118,0.00997314322209,0.0,9,4.15210355987,1.86532320411,4.15210355987,0.424811695509,309,-0.0640337053644,6.45802280825
102,0.0620478790246,-6.35294286313e-17,0,1.57790871674,0.00996937862869,0.0,10,4.28571428571,1.87942701005,4.28571428571,0.416475221925,301,-0.0620478790246,6.54975084537
103,0.0476344324035,-7.01922441218e-17,1,1.6275642328,0.00645543240501,0.0,10,4.22950819672,1.88278724388,4.22950819672,0.349672023241,305,-0.0476344324035,6.57179655837
104,0.062168723121,4.56375714969e-17,0,1.37187594251,0.00991147968067,0.0,8,4.18456375839,1.8798261578,4.18456375839,0.482058016387,298,-0.062168723121,6.55236568554
105,0.0497049755467,-1.86230064076e-16,0,1.47121177942,0.00649475577464,0.0,9,4.08064516129,1.84176665344,4.08064516129,0.460944010784,310,-0.0497049755467,6.30767189377
106,0.0496031720069,-1.72719812358e-16,0,1.61304035799,0.00644398119903,0.0,9,4.28378378378,1.85317545458,4.28378378378,0.393511343463,296,-0.0496031720069,6.38004693925
107,0.060533460808,5.95256733901e-18,-1,1.52676055429,0.00969986285867,0.0,11,4.23948220065,1.83652744674,4.23948220065,0.394762204521,309,-0.060533460808,6.27471111643
108,0.0590415803746,1.51759096407e-17,1,1.56583742912,0.00988300507355,0.0,9,4.23376623377,1.82104957695,4.23376623377,0.390270377291,308,-0.0590415803746,6.17833969095
109,0.0487712494781,-2.47901771225e-17,0,1.66463256021,0.00650272697777,0.0,11,4.40129449838,1.82270446487,4.40129449838,0.444890849661,309,-0.0487712494781,6.18857261549
110,0.0472327406355,5.57466614811e-17,0,1.5420476338,0.0064644438685,0.0,11,4.25503355705,1.84275864331,4.25503355705,0.420414347579,298,-0.0472327406355,6.31393214488
111,0.060906141529,3.12933903174e-18,0,1.65484598351,0.00993459101758,0.0,10,4.31772575251,1.83427598276,4.31772575251,0.404052833167,299,-0.060906141529,6.260599722
112,0.048490134569,-2.62597661513e-17,0,1.65513736851,0.0064205944062,0.0,10,4.27096774194,1.81145744708,4.27096774194,0.38945839282,310,-0.048490134569,6.11935957888
113,0.0487928282625,5.07546373986e-18,1,1.60824015412,0.00647755299048,0.0,12,4.43143812709,1.81482655262,4.43143812709,0.424811371112,299,-0.0487928282625,6.14001111626
114,0.0590654775066,8.02320433422e-18,0,1.64613185129,0.00987529908604,0.0,9,4.53559322034,1.80968912808,4.53559322034,0.456399529726,295,-0.0590654775066,6.10854816092
115,0.0583805315445,1.96555918951e-17,0,1.53658921838,0.0099164549057,0.0,9,4.25974025974,1.7857297133,4.25974025974,0.409225465559,308,-0.0583805315445,5.96393031941
